,IES,Programa,Cod_Area,Titulo,Autor,Tipo,Defesa,Resumo,Keywords,link_trabalho
100,Fundação Universidade Federal De Sergipe,Educação ,27001016003P5,Da Sociedade Disciplinar À Sociedade De Controle: Protagonismos E Caminhos Da Educação Diante Das Mudanças De Regimes De Poder,Lucas De Oliveira Carvalho,Dissertação,13/02/2020,"Este trabalho buscou trazer um exercício teórico do conceito de poder através da sociedade disciplinar de Michel Foucault e da sociedade de controle de Gilles Deleuze. Almejamos refletir como a escola, enquanto instituição da modernidade, está sendo impactada por alterações na lógica de funcionamento das relações de poder com a atualização de uma sociedade disciplinar para uma sociedade de controle. E como isso tem penetrado e atingido a sua autonomia e soberania enquanto instituição de confinamento. Tendo em vista que o poder na sociedade de controle atua em modo “aberto”. Ou seja, fora da lógica de confinamento típica da sociedade disciplinar a qual a escola foi instituída. Buscamos através da análise da relação e das tensões institucionais entre a escola e a família, da produção e da regulamentação de novas formas de violência e da atuação de dois movimentos políticos, a escola sem partido e as recentes ocupações dos secundaristas, trazer indícios quem têm caracterizado esse processo de atualização e de transformação que tem permeado a escola.","['poder;poder', 'disciplinar;sociedade', 'de', 'controle;escola;educação']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9920948
101,Universidade Federal De Lavras,Educação ,32004010023P3,Tempos Distópicos? Dimensão Política Da Educação Nos Projetos Sociais De Fahrenheit 451 E Admirável Mundo Novo.,Nilber Martins Rosa,Dissertação,07/12/2017,"Em nossa dissertação, pretendemos, com base nas obras: Admirável Mundo Novo (1932), de Aldous Huxley e Fahrenheit 451 (1953), de Ray Bradbury, apontar críticas, referentes aos aspectos educacionais, apresentados nessas obras e que possuem intensidade para questionar incoerências presentes em nosso tempo. Para tanto, buscamos estabelecer um diálogo com o filósofo Theodor Adorno e seus escritos: Educação e Emancipaçãoe Aldous Huxley e a utopia, com o objetivo de vislumbrar os reais objetivos que deveriam ser almejados em um processo educacional emancipatório e democrático. A nossa principal inquietação foi direcionada a identificar os fundamentos político-pedagógicos, presentes em Fahrenheit 451 e Admirável Mundo Novo os quais possibilitam críticas às políticas oficiais da educação escolar brasileira. Na busca por identificar esses fundamentos, realizamos uma pesquisa bibliográfica teórica com inspiração hermenêutica e, assim sendo, dedicamo-nos a uma breve apresentação do enredo das duas obras, considerando, inclusive, as críticas realizadas. Em nosso segundo momento, a nossa intencionalidade convergirá para o estudo detalhado dos aspectos educacionais apresentados, buscando perceber os arcabouços teóricos que foram exacerbados. No terceiro e último capítulo, buscaremos estabelecer pela visão de Adorno alguns pressupostos, para o desenvolvimento de uma educação, a fim de o esclarecimento/autonomia. Compartilhamos o que seria o ideal a ser buscado pelos modelos educacionais. Acreditamos que as provocações críticas, contidas nas obras: Admirável Mundo Novo e Fahrenheit 451 devem ser resgatadas, diante das obscuridades – da censura - que se apresentam na nossa contemporaneidade, materializadas em projetos de lei como: o “Escola sem Partido” ou nas liminares restritivas à arte. ","['Educação;Censura.', 'Emancipação;Huxley.', 'Bradbury;Literatura.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5654631
102,Pontifícia Universidade Católica De São Paulo,Psicologia ,Psicologia Social ,(In) Sustentabilidade Na Educação: O Que Está Por Trás Do Livro Didático?,Maria Silvia Ribeiro,Tese,22/03/2019,"Este estudo se integra à linha de pesquisa “Aportes da Psicologia Social à compreensão de problemas sociais”, do Programa de Estudos Pós-Graduados em Psicologia Social da Pontifícia Universidade Católica de São Paulo, junto ao Núcleo de Estudos de Gênero, Raça e Idade (NEGRI), tendo por objetivo geral analisar produções discursivas de autoras/es de livros didáticos de Ciências Naturais, sobre educação e sustentabilidade. Entendemos que as sociedades contemporâneas estão fortemente organizadas com base no desenvolvimento científico e tecnológico e, ao mesmo tempo, estruturadas em torno de eixos de desigualdades. Partimos do pressuposto que sustentabilidade é uma noção à qual se pode recorrer para tornar objetivas diferentes ideias e projetos de sociedades. Concebemos a literatura didática como mídia educativa. Nesse contexto consideramos que livros didáticos estão enredados com continuidades e mudanças mais amplas nas sociedades atuais, com a forma com que as práticas educativas definem identificações, subjetivações, inclusões e exclusões, economias e projetos políticos globais. Assim, sustentabilidade constitui um tema gerador transversal que congrega os projetos de pesquisas desenvolvidos no NEGRI, cujos estudos estão centrados na busca de compreensão de eixos de desigualdades e têm por interesse apreender as maneiras como as formas simbólicas se entrecruzam com relações de poder e dominação. Esta pesquisa está amparada nos aportes de John B. Thompson, a saber: teoria social da mídia, ideologia e cultura moderna. No campo metodológico, a hermenêutica de profundidade. Os resultados da pesquisa apontam que autoras/es de livros didáticos, como atores sociais, através de seu ofício, contribuem para a construção de uma educação sustentável, pautada no desenvolvimento de uma subjetividade crítica, tanto na formação continuada de professoras/es quanto na formação de estudantes do ensino básico. Os posicionamentos partem do princípio da não-exclusão, com vistas à justiça social e ambiental, se opondo a toda forma de exploração, expropriação, consumismo, autoritarismo, preconceito e intolerância. Defendem uma educação pública, laica, ética, democrática, inclusiva e com qualidade referenciada, entendida numa direção plural, reconhecendo uma multiplicidade de posições como pontos de vista a partir dos quais se visualizam os distintos fenômenos da realidade (científica, política, religiosa, socioambiental), que têm em conta as implicações das relações sociais de poder. Em suas obras confirma-se que adotam uma concepção de educação não neutra. Nota-se uma intencionalidade que visa à formação humana integral por meio de conteúdos e habilidades de pensamento e ação. Portanto, em sintonia com a perspectiva interdisciplinar e transdisciplinar. Nossas análises apontam que este é um aporte muito importante para o momento que estamos vivendo em nível global, particularmente no Brasil em que vemos ressurgir partidários de uma “escola sem partido”, “sem ideologia” defendendo uma educação neutra, desprovida de críticas e questionamentos","['Psicologia', 'Social;Teoria', 'social', 'da', 'mídia;Livros', 'didáticos;Ideologia;Educação', '-', 'Aspectos', 'sociais;Sustentabilidade', '-', 'Estudo', 'e', 'ensino']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7671701
103,Universidade Federal Da Bahia,Estudos Étnicos E Africanos ,28001010048P5,A Cor Dessa Cidade Sou Eu?...:Identidades Étnico-Sociais De Jovens Da Escola Pública E Privada De Salvador.,Artur Epifanio Dos Santos,Dissertação,28/12/2017,"O objetivo dessa dissertação é descrever como jovens estudantes de escolas públicas e privadas de Salvador que se auto-identificam como não-negro constroem sua identidade étnico-social e em quais contextos o discurso da mistura racial na história familiar é ativado ou rejeitado. As nuances do racismo brasileiro, a branquidade como modelo ideal para o projeto de nação Como as práxis pedagógica e curricular contribuem para essa formação identitária. Não obstante as relações raciais e do espólio africano nas ciências. O desejo de uma escola que expresse e se desenvolva epistemologicamente em diversas direções e colabore no processo de formação da personalidade dos jovens estudantes no momento de transição em suas diversas tipologias para a fase adulta. No momento em que se discute a escola sem partido com os debates de extremismos ideológicos tanto de direita quanto de esquerda, essa dissertação traz uma reflexão teórico- empírica sobre diferentes cosmogonias que não são contempladas nos conteúdos pedagógicos da Educação Básica. Para o desenvolvimento da pesquisa recorreu-se aos métodos quantitativos e qualitativos com uma abordagem etnográfica. Utilizou-se o recurso do priming, ou seja, o efeito experimental que se refere à influência que um evento antecedente (prime) tem sobre o desempenho de um evento posterior (alvo) que interpreta a organização do comportamento humano. Os resultados apresentados demonstram que os jovens soteropolitanos se auto identificam muito mais como pardos e muito menos como pretos e uma parte significativa se reconhecem como brancos limitados por uma fronteira demarcada por um conjunto de símbolos aparentemente despercebidos mais sutilmente definidos como elemento de pertença àquele grupo. ","['identidade', 'étnica', 'e', 'social;esterótipo;currículo']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6261356
104,Universidade Federal De Viçosa,Letras ,32002017038P4,Análise Discursivo-Crítica De Relatos De Homens Trans Em Práticas Socioescolares De Viçosa- Mg,Samuel De Sa Ribeiro,Dissertação,20/03/2020,"RIBEIRO, Samuel de Sá, M.Sc., Universidade Federal de Viçosa, março de 2020. Análise discursivo-crítica de relatos de homens trans em práticas socioescolares de Viçosa- MG. Orientadora: Maria Carmen Aires Gomes. Esta pesquisa discursiva-etnográfica-crítica e transformacional objetivou analisar os relatos de si produzidos por quatro homens trans estudantes do ensino médio de duas escolas públicas estaduais da cidade de Viçosa-MG. Também foi do nosso interesse investigar os discursos produzidos por profissionais da educação, analisando as representações e as identificações que produziram acerca dos saberes ontológicos de gêneros sociais, de sexualidades e da transgeneridade. Para gerar os relatos dos estudantes colaboradores deste estudo, realizamos entrevistas individuais semiestruturadas. Já para obter os discursos de professores/as, supervisoras e diretora, também colaboradores/as, utilizamos diálogos em grupos focais (BACKES et al., 2011; DUARTE, 2002). Como base teórica e metodológica, operacionalizamos com categorias linguístico-discursivas da Análise do Discurso Textualmente Orientada (CHOULIARAKI; FAIRCLOUGH, 1999; FAIRCLOUGH, 2001 [1992]); FAIRCLOUGH, 2003), considerando, também, o Sistema de Avaliatividade (WHITE, 2004). Nas explanações críticas, articulamos nossos dados linguísticos aos Estudos de Gênero (BUTLER, 2003, 2015, 2016, 2017; BENTO, 2017; CONNELL, 2016; LOURO, 2000, 2012, 2014; MISKOLCI, 2014; PRECIADO, 2017; PONTES; SILVA, 2017) e aos estudos específicos acerca das Masculinidades Plurais (ALMEIDA, 2012; ÁVILA, 2014; CONNELL; MESSERSCHMIDT, 2013; NERY, 2014). As análises dos relatos foram organizadas por temas e nos evidenciaram avaliações positivas e negativas da vida escolar. Percebemos, então, não só a insegurança ontológica das transmasculinidades em cenas de interpelações de violências simbólicas e físicas produzidas nas relações sociais estabelecidas entre os estudantes, colegas da escola, membros familiares e equipe de profissionais da educação, mas, também, identificamos acolhimento no espaço escolar. Os efeitos da rearticulação das ordens discursivas religiosa, conservadora e pró-escola sem partido foram analisados. Por fim, discutimos o modo como os estudantes trans experienciaram materialmente a vida escolar. Assim, avançando na perspectiva do raciocínio dialético faircloughiano, de modo enagajado em ações que incentivem mudanças sociais, oferecemos um minicurso de formação continuada sobre os temas gêneros e sexualidades para professores/as das duas escolas, onde realizamos nossa pesquisa discursiva-etnográfica, com o intuito de potencializar práticas emancipatórias e acolhedoras das diferenças nessas instituições de ensino (FAIRCLOUGH, 2019). ","['Relatos', 'de', 'Homens', 'trans;Ensino', 'Médio;Análise', 'do', 'Discurso', 'Crítica']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9084457
105,Universidade De Brasília,Política Social ,53001010035P1,Formação Continuada Em Gênero De Profissionais Da Educação Básica No Distrito Federal,Maria Dayssy Stphanie Rocha Cerqueira,Dissertação,23/10/2020,"Gênero e educação constitui um tema que tem sido alvo de diversos embates nas últimas décadas. De um lado, movimentos feministas; de mulheres; raciais; de Lésbicas, Gays, Bissexuais, Travestis, Transexuais, Transgêneros, Intersexos e outras (LGBTI+) vêm lutando para inclusão de debates sobre diversidade, gênero e questão racial dentro dos espaços escolares, reconhecendo a educação como um dos espaços de transformação da sociedade para igualdade. De outro lado, movimentos conservadores (Nova Direita e Escola Sem Partido) buscam, por diversas vias, impedir que isso ocorra. Diante deste cenário, busquei, nesta pesquisa, identificar como a Secretaria de Estado de Educação do Distrito Federal (SEEDF), por meio da Subsecretaria de Formação dos Profissionais da Educação (EAPE) enfrentou o desafio de proporcionar às trabalhadoras da educação básica pública, uma formação continuada em e para os Direitos Humanos, especialmente nas temáticas de gênero, entre os anos de 2000 e 2018. A metodologia adotada foi pesquisa documental, por meio da qual analisei os cursos ofertados pela referida subsecretaria. Para chegar ao objetivo realizei a coleta, a sistematização e a análise do material, que revelou as dualidades e contradições que permeiam a educação brasileira desde sua gênese, tanto em nível nacional, como na especificidade do Distrito Federal (DF). A pesquisa demonstrou que apesar da ofensiva conservadora no país, e, em especial no DF, não parece haver interferência na oferta dos cursos pela EAPE durante o período analisado. Não obstante, a proposta de uma educação emancipadora, como a que subjaz ao projeto do Currículo em Movimento, e com cursos voltados para as temáticas de gênero como dimensão para os direitos humanos, estes ocupam lugar secundário nas ofertas da EAPE. Há que se considerar ainda que após a eleição do atual Presidente da República, um representante da Nova Direita, a proposta de retorno a uma educação tecnicista, moralizadora e tradicional ganha novo impulso; portanto, a estratégia que parece ganhar centralidade manifesta-se na alteração da estrutura do Ministério da Educação (MEC), que permite a implantação de escolas cívico-militares, modelo esse prontamente adotado no DF. Apesar de no mesmo ano, em 2019, o Movimento Escola Sem Partido anunciar o fim de suas atividades, o ideário de escola sem partido e antigênero pode permanecer por meio das escolas cívico-militares em gestão compartilhada.","['formação', 'continuada;gênero', 'e', 'educação;Educação', 'em', 'e', 'para', 'os', 'Direitos', 'Humanos;educação', 'básica']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9694249
106,Universidade Federal Do Ceará,Educação ,22001018001P9,Forma Educação E Forma Direito: A Especificidade Da Relação Concreta Conformadora Do Momento Educacional Nas Relações Sociais,David Albuquerque De Oliveira,Dissertação,30/07/2018,"O objeto que nos interessa no presente estudo é a forma educação. A metodologia que estabelece nosso ângulo de abordagem é a análise das formas sociais encontrada na obra de Karl Marx por meio de sua dialética materialista. Tanto nosso destaque da forma educação dentre as demais interações sociais passíveis de estudo, como os desdobramentos que lançaremos abaixo a partir do objeto, têm por base o arcabouço teórico marxiano. Não nos interessa, portanto, tomar a educação como algo genérico, mas aquilo que lhe é específico derivado do momento presente do atual modo de produção. Educação como e enquanto forma. A forma educação. E para tanto: a filosofia, à luz do materialismo histórico, do conceito da forma educação. Para se compreender a teoria das formas sociais é necessário perpassar o debate do materialismo histórico. Desta forma, a exposição da educação enquanto momento específico da sociabilidade geral acompanha o debate da totalidade social composta por formas ao mesmo tempo aproximadas e distintas. Por serem componentes do todo, as formas dialogam entre si, mas não se perdem como uma só e mesma coisa. Ao mesmo tempo, e por isso mesmo, as formas podem ser discerníveis por se realizarem na totalidade, donde se conclui que a totalidade do ser social é ainda maior que a soma de suas partes. As formas são distinguíveis ao serem perscrutadas pelo olhar metodológico da contraposição, quer dizer, a forma é menor que o todo, mas o reflete em partes, garantindo que seja um específico momento de algo mais complexo e multiplamente mais conformado. Na interação desses complexos, sempre sob o ditame das forças de produção, determinadas formas aproximam-se umas das outras mais que a mediania. À nossa pesquisa interessa a proximidade existente entre as formas educação e direito tanto por ser a educação externalizada na forma de lei, como o debate educacional, na nossa atualidade política nacional, estar localizado com mais peso no âmbito político institucional que pedagógico. E o ponto alto desse sufoco causado à forma educação pela forma direito se expressa na proposta político ideológica escola sem partido, aqui criticada em seus fundamentos.","['Formas', 'sociais;Educação;Direito.']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6379072
107,Universidade Federal Do Rio Grande Do Sul,Psicologia Social E Institucional ,42001013064P7,Reflexões Sobre Verdade E Política: Mapeando Controvérsias Do Kit Gay,Joao Gabriel Maracci Silveira Cardoso,Dissertação,22/08/2019,"O presente trabalho propõe-se a refletir sobre as relações entre verdade e política a partir da polêmica do Kit Gay. Para tanto, inicia-se abordando a concepção de verdade operativa, fundamentada nos Estudos da Ciência e Tecnologia, que subjaz a investigação. Em seguida, delimitam-se as bases metodológicas para um mapeamento de controvérsias acerca do Kit Gay, que consiste em perseguir na internet as redes performativas do objeto por um período de oito anos: de 2011 a 2018. Sob tal empreendimento, constata-se o movimento de aproximação e afastamento entre os significantes Kit Gay e Escola sem Homofobia, bem como o uso do primeiro enquanto mobilizador e articulador de oposição a pautas entendidas como “de esquerda”. Observa-se a força retórica e persuasiva que tal polêmica assume no campo político brasileiro, principalmente quando é associada à “ideologia de gênero” - suposta investida internacional e marxista contrária a um ideal de família tradicional. Além disso, aponta-se a dificuldade da crítica em considerar os complexos modos através dos quais a controvérsia assume graus de veracidade, apontando-a apenas como mentira ou falseamento do projeto financiado pelo Ministério da Educação. A partir dessas considerações, elabora-se uma reflexão acerca da verdade, assumida não enquanto dado a priori, que habitaria o mundo de antemão, mas sim pela relação de contingência estabelecida entre diferentes atores que compõem realidades múltiplas a partir de engajamentos semiótico-materiais específicos. ","['Verdade;Política;Gênero;Sexualidade;Kit', 'Gay;Ideologia', 'de', 'Gênero']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=8202290
108,Universidade Estácio De Sá,Direito ,31018017007P9,O Reconhecimento Jurídico E Social Da Identidade De Gênero: A Alteração De Nome E Sexo Da Pessoa Transexual,Wilian Marcon,Dissertação,30/08/2018,"A identidade de gênero e seu consequente impacto na sociedade, sob a análise da  sexualidade como fenômeno histórico e como construção social, permite entender as  subclassificações e nuances do gênero.  Alvo de preconceito e violência, as pessoas  transexuais despertam a necessidade de alteração do prenome e gênero, analisando-se,  de igual maneira, as teorias de identidade de gênero e ideologia de gênero. Visitar a  legislação brasileira e o tratamento dado a caso constitucional em questões de identidade  de gênero pelo Supremo Tribunal Federal revela a forma jurídica e social dado a estas  pessoas que se encontram em constante busca de reconhecimento. Portanto, revela-se  nesses pontos a importância do debate de identidade de gênero para a comunidade  jurídica, considerando que o impacto social de cometimento de crimes contra LGBT  aumenta a cada ano, não podendo apenas o direito reconhecer a existência social destas  pessoas, mas sim promover à sua inclusão na sociedade pelos outros poderes. Pautado  no procedimento metodológico, utilizado para viabilizar a composição e estruturação  desta pesquisa, foi utilizada a revisão bibliográfica, esta se comporta como o processo de  busca, seguido de análise e descrição de um conjunto de conhecimentos consagrados na  literatura científica. ","['Identidade', 'de', 'gênero;Ideologia', 'de', 'gênero;Transexuais.', 'Sexo', 'e', 'gênero;Alteração', 'de', 'nome', 'e', 'sexo']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7388146
109,Pontifícia Universidade Católica Do Rio Grande Do Sul,História ,42005019005P6,Fascismo À Brasileira: Juventude E Imprensa Como Instrumentos De Doutrinação Da Ação Integralista Brasileira (1932-1937),Andrelise Gauterio Santorum,Dissertação,08/03/2018,"Objetivando a doutrinação das massas para a posterior atração de um número cada vez maior de adeptos as suas fileiras, a Ação Integralista Brasileira (AIB) organizou uma série de mecanismos que, ao serem analisados, contribuem significativamente para a compreensão da natureza orgânica do movimento de caráter fascista. A presente pesquisa, apoiando-se na imprensa periódica enquanto fonte central de análise, tem a pretensão de investigar um dos específicos segmentos do movimento: a Juventude. Busca compreender sua organização enquanto mais um dos instrumentos de doutrinação do partido que visava, a um só tempo, instituir a juventude integralista, mas também formar os futuros quadros do movimento. Para tanto, à luz da cultura política enquanto referencial teórico para a compreensão de tal abordagem, tem-se como perspectiva a realização de uma análise qualitativa abordando de que forma era feita a instrumentalização deste segmento. O presente estudo pretende analisar o discurso veiculado pela imprensa oficialmente ligada ao integralismo a fim de demonstrar os principais mecanismos utilizados pelo movimento em prol da mobilização da categoria juvenil. Optou-se pela análise de quatro periódicos de grande expressão para o movimento: Os jornais A Offensiva e Monitor Integralista, e as revistas Anauê! e Brasil Feminino; além de uma série de documentos que definiram questões importantes sobre a temática da juventude no movimento. Em relação aos aspectos mais conceituais, a investigação propõe uma reflexão pautada na sociologia da juventude que caracteriza este segmento enquanto uma categoria social que ultrapassa um critério etário sendo definida de acordo com uma série de símbolos e representações ressignificados ao longo da história. Tal concepção de juventude auxilia na compreensão do processo de fascistização da juventude sob uma perspectiva mais ampla. ","['Juventude;Fascismo;Integralismo;Juventude', 'Integralista']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6308508
110,Universidade Federal Do Paraná,Antropologia E Arqueologia ,40001016027P9,Uma Noção De Pessoa Trans Não­Binária,Alisson Gebrim Krasota,Dissertação,08/12/2016,"O presente texto parte da hipótese de que os dispositivos de sexualidade a partir do século XVIII, principalmente a medicina e as ciências psi (psiquiatria, psicologia e psicanálise), no projeto moderno de purificar o sexo, estabelecendo a normatização da estreita e exclusiva relação entre heterossexualidade e identidade binária de gênero (homem/mulher), possibilitaram paradoxalmente as condições de emergência para uma multiplicidade destas identidades. O recorte temático deste trabalho é sobre a explosão do binarismo realizado nas pessoas trans não-binárias que, grosso modo, são as pessoas que não se percebem somente mulher ou homem. O trabalho de campo foi realizado junto a um grupo do Facebook constituído principalmente por pessoas trans não-binárias e conversas pessoais com alguns de seus integrantes não-binários, durante o período de junho de 2014 a setembro de 2016. O problema fenomênico levantado foi compreender a autopercepção destas pessoas a partir de suas próprias vivências. Para isto, vali-me dos conceitos que elas próprias utilizam e de suas relações com seus “Outros”. Ao verificar que a constituição de suas autopercepções situa-se em relação às discriminações (diferenças) com que se demarcam  e diante das discriminiações (opressões) com que são marcadas, este trabalho sustenta que a identidade trans não-binária está relacionada com a síntese destas discriminações no tipo de dor que experimentam.",['pessoa;transgênero;corpo'],https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3979091
111,Universidade Do Estado Do Rio De Janeiro,História Social ,31004016046P7,Formas Distintas Para Públicos Distintos: O Discurso Integralista De Acordo Com Seu Público-Alvo,Vinicius Da Silva Ramos,Tese,08/07/2020,"Este estudo tem por objetivo analisar as diferentes produções discursivas de militantes da Ação Integralista Brasileira, em especial sua liderança máxima, Plínio Salgado, a partir dos diferentes veículos que repercutiam seus relatos. Livros, jornal integralista e grande imprensa foram fundamentais para fazer com que a palavra integralista alcançasse milhões de brasile i- ros, e que conquistasse uma parte deles. Nossa intenção foi buscar as particularidades de cada uma dessas ferramentas e compreender como elas se distinguiam umas das outras na aplic a- ção da doutrinação in tegralista, onde o livro sempre fora apresentado como o canal de com u- nicação com as classes intelectualizadas, o jornal voltado para a classe trabalhadora, e acre s- centamos os discursos voltados à grande imprensa, que matizava um pouco a zona de conforto pr ovocada pela palavra integralista dentro do veículo integralista.",['Integralismo;Fascismo;Imprensa'],https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10293063
112,Universidade Federal De Santa Maria,Letras ,42002010014P0,“Escola Sem Doutrinação”: Um Patrulhamento Ideológico?,Rocheli Regina Predebon Silveira,Dissertação,11/03/2019,"Embasados na perspectiva discursiva de linha francesa, propomos nessa dissertação, tendo como objeto de estudo a fanpage no Facebook do movimento ‘Escola Sem Partido’, analisar os enunciados produzidos pelo movimento sobre professores e suas práticas em sala de aula. A ‘Escola Sem Partido’, através de seu movimento e projetos embasados em seus ideais, tem buscado o que denominam de uma escola sem doutrinação política, ideológica e partidária. Nosso intuito, nesse sentido, foi refletir sobre a relação que há entre o ato de doutrinar, apontado pelo movimento ‘Escola Sem Partido’ – como a ação praticada pelos professores –, com o ato de patrulhar ideologicamente os docentes – ação realizada pelo movimento. Para isso, mobilizamos os conceitos de ideologia e, de aparelhos ideológicos de Estado, propostos por Althusser (1985) e Pêcheux (1995). Tais conceitos nos permitiram compreender o patrulhamento ideológico como mecanismo de vigia utilizado pelas instituições para lutar pela manutenção da ideologia dominante/dominada. Nosso corpus de análise foi composto por vinte e cinco enunciados, selecionados a partir de dois critérios: temporalidade (março de 2015 a agosto de 2016) e; temática (discurso sobre o educador e suas práticas). O processo analítico foi desenvolvido a partir dos estudos sobre o discurso-transverso. Nesse movimento analítico buscamos compreender como o discurso do ‘Escola Sem Partido’, relativamente a doutrinação, é atravessado pelo discurso de patrulhamento ideológico. Esse gesto de interpretação nos possibilitou entender que o professor doutrinador se constitui daquele que possui ideologia diferente da julgada ideal pelo movimento e/ou que, problematiza seus ideais. Ao nosso ver, portanto, a relação entre o ato de patrulhar e, o suposto ato de doutrinar, se dá no mascaramento do patrulhamento ideológico sobre o discurso doutrinador. Por fim, acreditamos que, junto ao atravessamento do patrulhamento ideológico, está atravessado o discurso de ódio, mediante a desqualificação e intimidação dos sujeitos professores.","['Escola', 'Sem', 'Partido;Patrulhamento', 'ideológico;Doutrinação;Professor']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7681393
113,Faculdade Unida De Vitória,Ciências Das Religiões ,30014018001P2,Ensino Religioso Em Escolas Públicas De Vila Velha - Es: Avaliação E Propostas,Karla De Cassia Redder Da Silva Barbosa,Dissertação,28/11/2018,"Em um mundo onde a informação se constitui um dos itens mais valiosos, é de se imaginar que o espaço e o tempo escolar sejam disputados entre aqueles/as que pretendem exercer alguma forma de domínio. Nesse sentido, o Ensino Religioso concorre com outros saberes, os quais, à primeira vista, apresentam-se como algo bem mais útil aos/às alunos/as, especialmente quando se considera que, como bem lembra o bordão fartamente divulgado pelos defensores do ensino laico, 'religião se aprende na igreja'. O objetivo principal desse estudo é investigar, com fundamentos nas teorias inerentes aos métodos contemporâneos de ensino, qual a real importância do Ensino Religioso na Educação Básica. No entanto, visando alcançar o objetivo geral, o estudo aqui proposto também buscará os objetivos específicos abaixo apresentados: a) promover levantamento teórico sobre os valores e ideais que norteiam a Educação Básica; b) identificar quais as principais leis que norteiam a Educação Básica no Brasil; c) desenvolver pesquisa de campo, junto a professores/as e alunos/as, para conhecer o que pensam acerca do Ensino Religioso na Educação Básica; e, d) apresentar sugestões de melhorias que possam minimizar ou corrigir as possíveis disfunções identificadas por meio da pesquisa de campo, de modo a contribuir para a maior aceitação do Ensino Religioso na Educação Básica. Por sua vez, a questão problema que se tentará responder por meio desse estudo é: no Ensino Básico, em que há grande multiplicidade de informações, a oferta da disciplina Ensino Religioso se faz mesmo necessária? Quanto às justificativas para a realização desse trabalho tem-se que, em um país cuja Constituição Federal garante o caráter laico da Educação e, ainda, em uma nação onde a doutrinação religiosa beira o extremismo, a oferta da disciplina Ensino Religioso pode ser entendida por muitas pessoas como forma de doutrinação das crianças. Daí a importância de se estudar a questão, tanto do ponto de vista teórico quanto pela vertente prática, para melhor compreender o que pensam alunos/as e professores/as acerca do tema. Outra justificativa para a realização do presente trabalho é a oportunidade de aplicar, no âmbito prático, o aprendizado teórico adquirido ao longo da vida acadêmica. Entretanto, há razões ainda mais significativas, como, por exemplo, conhecer as delimitações legais que se estendem sobre a oferta da disciplina Ensino Religioso, de modo a evitar a doutrinação religiosa em sala de aula, o que poderia ferir o aspecto laico respaldado pela Constituição Cidadã, promulgada no ano de 1988.","['Ensino', 'Religioso;leis;Educação', 'Básica;religião;laicidade']",https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=7051732
